timestamp,gun_id,rank,point
1765199968.21931,1027,16,16785867
1765199968.21931,1059,17,16701896
1765199968.21931,1021,18,16609592
1765199968.21931,1054,19,16596772
1765199968.21931,1048,20,16297425
1765199968.21931,1032,21,16252555
1765199968.21931,1029,22,16230120
1765199968.21931,1035,23,16090382
1765199968.21931,1008,24,15980130
1765199968.21931,1022,25,15872442
1765199968.21931,1001,26,15835264
1765199968.21931,1033,27,15833341
1765199968.21931,1009,28,15760267
1765199968.21931,1037,29,15758985
1765199968.21931,1015,30,15725012
1765199968.21931,1023,31,15608991
1765199968.21931,1045,32,15567967
1765199968.21931,1024,33,15485278
1765199968.21931,1050,34,15371180
1765199968.21931,1053,35,15368616
1765199968.21931,1026,36,15350027
1765199968.21931,1043,37,15332720
1765199968.21931,1040,38,15289773
1765199968.21931,1038,39,15264133
1765199968.21931,1041,40,15233365
1765199968.21931,1036,41,15233365
1765202013.9688094,1052,1,72197200
1765202013.9688094,1017,2,46854948
1765202013.9688094,1056,3,28634111
1765202013.9688094,1034,4,22563841
1765202013.9688094,1025,5,21083131
1765202013.9688094,1047,6,20142784
1765202013.9688094,1039,7,19356918
1765202013.9688094,1044,8,19310125
1765202013.9688094,1013,9,18758865
1765202013.9688094,1064,10,18447980
1765202013.9688094,1055,11,18060816
1765202013.9688094,1051,12,17497377
1765202013.9688094,1042,13,17012140
1765202013.9688094,1028,14,16965347
1765202013.9688094,1057,15,16933297
1765202013.9688094,1027,16,16785867
1765202013.9688094,1059,17,16701896
1765202013.9688094,1021,18,16609592
1765202013.9688094,1054,19,16596772
1765202013.9688094,1048,20,16297425
1765202013.9688094,1032,21,16252555
1765202013.9688094,1029,22,16230120
1765202013.9688094,1035,23,16090382
1765202013.9688094,1008,24,15980130
1765202013.9688094,1022,25,15872442
1765202013.9688094,1001,26,15835264
1765202013.9688094,1033,27,15833341
1765202013.9688094,1009,28,15760267
1765202013.9688094,1037,29,15758985
1765202013.9688094,1015,30,15725012
1765202013.9688094,1023,31,15608991
1765202013.9688094,1045,32,15567967
1765202013.9688094,1024,33,15485278
1765202013.9688094,1050,34,15371180
1765202013.9688094,1053,35,15368616
1765202013.9688094,1026,36,15350027
1765202013.9688094,1043,37,15332720
1765202013.9688094,1040,38,15289773
1765202013.9688094,1038,39,15264133
1765202013.9688094,1041,40,15233365
1765202013.9688094,1036,41,15233365
1765205419.8716097,1052,1,72501272
1765205419.8716097,1017,2,47190860
1765205419.8716097,1056,3,28764234
1765205419.8716097,1034,4,22675375
1765205419.8716097,1025,5,21183768
1765205419.8716097,1047,6,20244062
1765205419.8716097,1039,7,19467811
1765205419.8716097,1044,8,19408839
1765205419.8716097,1013,9,18857579
1765205419.8716097,1064,10,18552463
1765205419.8716097,1055,11,18159530
1765205419.8716097,1051,12,17596091
1765205419.8716097,1042,13,17112136
1765205419.8716097,1028,14,17060215
1765205419.8716097,1057,15,17028806
1765205419.8716097,1027,16,16883940
1765205419.8716097,1059,17,16795482
1765205419.8716097,1021,18,16704460
1765205419.8716097,1054,19,16694845
1765205419.8716097,1048,20,16399985
1765205419.8716097,1032,21,16344218
1765205419.8716097,1029,22,16326911
1765205419.8716097,1035,23,16186532
1765205419.8716097,1008,24,16071152
1765205419.8716097,1022,25,15967951
1765205419.8716097,1001,26,15930773
1765205419.8716097,1033,27,15926286
1765205419.8716097,1009,28,15855135
1765205419.8716097,1037,29,15851289
1765205419.8716097,1015,30,15821162
1765205419.8716097,1023,31,15700654
1765205419.8716097,1045,32,15661553
1765205419.8716097,1024,33,15576300
1765205419.8716097,1050,34,15459638
1765205419.8716097,1053,35,15459638
1765205419.8716097,1026,36,15442331
1765205419.8716097,1043,37,15426306
1765205419.8716097,1040,38,15382718
1765205419.8716097,1038,39,15356437
1765205419.8716097,1036,40,15328874
1765205419.8716097,1041,41,15324387
1765208953.752138,1052,1,72810120
1765208953.752138,1017,2,47498912
1765208953.752138,1056,3,28894998
1765208953.752138,1034,4,22797165
1765208953.752138,1025,5,21289533
1765208953.752138,1047,6,20356878
1765208953.752138,1039,7,19578704
1765208953.752138,1044,8,19515245
1765208953.752138,1013,9,18963985
1765208953.752138,1064,10,18658869
1765208953.752138,1055,11,18268500
1765208953.752138,1051,12,17699933
1765208953.752138,1042,13,17217260
1765208953.752138,1028,14,17160852
1765208953.752138,1057,15,17130725
1765208953.752138,1027,16,16980731
1765208953.752138,1059,17,16896760
1765208953.752138,1021,18,16806379
1765208953.752138,1054,19,16795482
1765208953.752138,1048,20,16495494
1765208953.752138,1032,21,16444214
1765208953.752138,1029,22,16426907
1765208953.752138,1035,23,16283323
1765208953.752138,1008,24,16167943
1765208953.752138,1022,25,16063460
1765208953.752138,1001,26,16030128
1765208953.752138,1033,27,16024359
1765208953.752138,1009,28,15950003
1765208953.752138,1037,29,15946157
1765208953.752138,1015,30,15917312
1765208953.752138,1023,31,15796163
1765208953.752138,1045,32,15758985
1765208953.752138,1024,33,15671168
1765208953.752138,1050,34,15555788
1765208953.752138,1053,35,15554506
1765208953.752138,1026,36,15539122
1765208953.752138,1043,37,15523097
1765208953.752138,1040,38,15477586
1765208953.752138,1038,39,15452587
1765208953.752138,1036,40,15423742
1765208953.752138,1041,41,15421819
1765212928.6145518,1052,1,73122948
1765212928.6145518,1017,2,47812536
1765212928.6145518,1056,3,29015506
1765212928.6145518,1034,4,22907417
